headword,level,toefl,ielts
barely,B1,1,1
bargain,A2,1,1
barge,C1,1,1
bark,B1,1,1
barley,B2,0,0
barman,B1,0,0
barn,B2,1,1
barometer,B2,1,1
baron,C1,0,1
baroness,C2,0,1
baroque,C2,1,0
barrel,B1,1,1
barren,B2,1,1
barrier,B2,1,1
bartender,B2,0,0
barter,C1,1,1
base,A2,0,1
baseball,A1,0,1
basement,B1,1,1
basic,A2,1,1
basically,A2,1,1
basin,B1,1,1
basis,B1,1,1
basket,A2,0,1
basketball,A1,0,1
bat,A1,1,1
batch,A2,0,0
bath,A1,1,1
bathe,B1,0,1
bathhouse,B2,0,0
bathroom,A1,0,1
batter,C1,1,1
battered,C1,0,0
battery,A2,1,1
battle,B1,1,1
battlefield,B2,0,0
bauble,C2,1,0
bay,A2,1,1
bazaar,C1,0,1
be,A1,0,0
beach,A1,1,1
beacon,B2,1,0
bead,C1,1,1
beagle,B2,0,0
beak,B2,1,1
beam,B2,1,1
bean,A1,0,1
bear,A1,1,1
beard,B1,0,0
bearded,C1,0,0
bearing,B2,0,1
bearish,C2,0,1
beast,B1,1,1
beat,B2,1,1
beautiful,A1,1,1
beautifully,B1,1,0
beautify,B2,0,0
beauty,A2,1,1
beaver,B1,1,0
because,A1,0,1
because of,B1,0,0
become,A1,0,1
bed,A1,1,1
bedroom,A1,1,1
bedside,B1,0,0
bee,A1,1,1
beef,A1,1,1
been,A2,0,0
beer,A2,1,1
beetle,C1,0,1
before,A1,0,1
beforehand,C1,0,1
beg,A2,1,1
beggar,C1,0,1
begin,A1,0,1
beginner,A2,0,1
beginning,A2,0,1
beguiling,C1,0,0
beguilingly,C1,0,0
behalf,B1,1,1
behave,B1,1,1
behavior/behaviour,A2,1,1
behavioral,B2,1,0
behest,C2,0,0
behind,A1,0,1
behindhand,C2,0,1
being,A2,0,1
belief,B1,1,1
believably,C1,0,0
believe,A1,1,1
bell,A1,1,1
belligerence,C2,0,0
belligerent,C2,1,0
bellow,B2,0,0
belly,A2,0,1
belong,A2,1,1
belongings,B2,0,0
beloved,B1,0,1
below,A1,1,1
belt,A2,1,1
bench,A2,0,1
bend,B2,1,1
beneath,B1,1,1
beneficial,B2,1,1
beneficiary,C2,1,1
benefit,B1,1,1
benevolence,B2,1,1
benevolent,B2,1,1
benign,C1,1,0
benignly,C1,0,0
bent,B1,0,1
bequeath,C1,1,0
bereft,C2,0,0
bereftly,C2,0,0
berry,B2,0,1
beside,A1,1,1
besides,A2,1,1
besiege,C2,1,0
best,A1,0,1
bestow,B2,1,1
bestseller,B2,0,1
bestselling,C2,0,1
bet,B1,1,1
betray,B2,1,1
betrayal,B2,0,1
better,A1,0,1
between,A1,0,1
beverage,C1,1,1
beware,C1,0,1
bewilder,B2,1,1
bewilderment,B2,0,0
beyond,A2,1,1
bias,C2,1,1
bible,B1,0,1
bicycle,A1,1,1
bid,B2,1,1
bidding,B2,0,1
big,A1,0,1
bike,A1,1,1
bikini,B2,0,0
bilingual,B1,1,0
bill,A2,1,1
